forest_type,block,family,genera,Count of trees,tree_dbh_cm,tree_height_m,basal_area_m2,volume_m3
secondary,1,Phyllanthaceae,antidesma,1,5.50,11.31,0.00238,0.01130
secondary,1,Clusiaceae,garcinia,1,9.00,14.33,0.00636,0.03830
secondary,1,Rhizophoraceae,pellacalyx,6,13.15,14.46,0.01963,0.15875
secondary,1,Melastomataceae ,pternandra,2,16.80,18.95,0.02455,0.21345
secondary,2,Burseraceae,canarium,2,7.05,10.00,0.00420,0.02075
secondary,2,Euphorbiaceae,endospermum,2,53.00,32.26,0.22447,3.02910
secondary,2,Moraceae,ficus,1,4.60,6.49,0.00166,0.00450
secondary,2,Cannabaceae,gironniera,2,9.90,9.29,0.00878,0.04360
secondary,2,Rhizophoraceae,pellacalyx,4,10.68,15.22,0.01025,0.07598
secondary,2,Sapotaceae,pouteria,1,8.20,11.69,0.00528,0.02590
secondary,2,Melastomataceae ,pternandra,2,10.65,13.94,0.00894,0.05255
secondary,3,Rubiaceae,aidia,1,4.20,7.82,0.00139,0.00460
secondary,3,Phyllanthaceae,antidesma,1,6.20,8.03,0.00302,0.01020
secondary,3,Anacardiaceae,campnosperma,1,4.50,7.39,0.00159,0.00490
secondary,3,Ebenaceae,diospyros,1,5.10,4.26,0.00204,0.00370
secondary,3,Euphorbiaceae,endospermum,1,52.30,29.07,0.21483,2.62250
secondary,3,Rhizophoraceae,pellacalyx,5,14.80,17.63,0.01965,0.15792
secondary,3,Myrtaceae,rhodamnia,1,4.90,10.56,0.00189,0.00840
