site,forest_type,block,plot_number,litter_depth_mm,mean_soil_pH_field,mean_soil_pH_lab,average_soil_water_%,canopy_cover,mean_light_flux,mean_rel_humidity,mean_temp,total_number_of seedlings,seedling_ha,total_groundcover_%,total numer of trees,trees_ha,basal_area,tree_volume
3,5 year old,3,3,85.00,5.00,4.12,31.15,97.92,"6,997.00",73.00,31.00,6.00,"3,000.00",100.00,10.00,"5,000.00",0.17,1.23
3,5 year old,3,4,105.00,4.75,4.12,36.45,71.92,"6,997.00",73.00,31.00,4.00,"2,000.00",100.00,10.00,"5,000.00",0.17,1.23
4,secondary,1,1,68.50,4.63,4.00,32.25,92.72,"5,387.00",70.00,31.00,3.00,"1,500.00",100.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,2,35.50,4.25,4.00,25.23,90.64,"5,387.00",70.00,31.00,0.00,0.00,97.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,3,37.75,5.13,4.00,29.00,88.56,"5,387.00",70.00,31.00,0.00,0.00,96.00,12.00,"6,000.00",0.19,1.51
4,secondary,1,4,34.50,5.63,4.00,26.75,93.76,"5,387.00",70.00,31.00,0.00,0.00,96.00,12.00,"6,000.00",0.19,1.51
4,secondary,2,1,37.75,4.25,4.00,24.68,90.64,"5,387.00",70.00,31.00,0.00,0.00,105.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,2,38.25,4.63,4.00,22.48,89.60,"5,387.00",70.00,31.00,0.00,0.00,102.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,3,54.75,5.25,4.00,76.95,88.56,"5,387.00",70.00,31.00,6.00,"3,000.00",105.00,14.00,"7,000.00",0.54,6.63
4,secondary,2,4,48.25,5.25,4.00,27.80,86.48,"5,387.00",70.00,31.00,3.00,"1,500.00",101.00,14.00,"7,000.00",0.54,6.63
4,secondary,3,1,32.75,5.13,4.00,20.88,86.48,"5,387.00",70.00,31.00,2.00,"1,000.00",105.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,2,43.25,5.38,4.00,22.80,95.84,"5,387.00",70.00,31.00,0.00,0.00,106.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,3,19.75,5.63,4.00,26.78,96.88,"5,387.00",70.00,31.00,12.00,"6,000.00",96.00,11.00,"5,500.00",0.32,3.44
4,secondary,3,4,52.25,5.38,4.00,22.20,95.84,"5,387.00",70.00,31.00,5.00,"2,500.00",93.00,11.00,"5,500.00",0.32,3.44
